unique_id,text,PRINCIPLE_x,TOPIC_x,UNIT_x,SHAPE_x,llm_query,PRINCIPLE_y,TOPIC_y,UNIT_y,SHAPE_y,iteration
14,We have advocated a structure for the new agreement thatis designed to attract the participation of all countries.,egalitarian,new UNFCCC policy,responsibility,equality,"14 We have advocated a structure for the new agreement thatis designed to attract the participation of all countries.
",egalitarian,new UNFCCC policy,responsibility,equality,1
15,"•  This kind of structure, based on a spectrum of mitigation commitments,self-differentiated across the broad range of evolving nationalcircumstances and capabilities, and in this way consistent with theprinciple of common but differentiated responsibilities and respectivecapabilities, is the only kind that we can see producing the ambitious,inclusive agreement we need.",utilitarian,UNFCCC agreements and principles,responsibility,equity,"15 •  This kind of structure, based on a spectrum of mitigation commitments,self-differentiated across the broad range of evolving nationalcircumstances and capabilities, and in this way consistent with theprinciple of common but differentiated responsibilities and respectivecapabilities, is the only kind that we can see producing the ambitious,inclusive agreement we need.
",egalitarian,mitigation,responsibility,equity,1
16,"•  By contrast, an agreement based on 1992 categories that are unchangingwill not work.",libertarian,UNFCCC agreements and principles,not indicated,not indicated,"16 •  By contrast, an agreement based on 1992 categories that are unchangingwill not work.
",general normative statement,new UNFCCC policy,not indicated,not indicated,1
18,"If those categories are to beoperational in character , in other words, determine who has what kindof obligations and responsibilities,  they must evolve to reflect changingcircumstances.",general normative statement,new UNFCCC policy,responsibility,equity,"18 If those categories are to beoperational in character , in other words, determine who has what kindof obligations and responsibilities,  they must evolve to reflect changingcircumstances.
",egalitarian,new UNFCCC policy,responsibility,equity,1
25,"•  Let us work together, mindful of our mutual responsibilities to eachother, our own citizens, and the global community.",egalitarian,cooperation,responsibility,not indicated,"25 •  Let us work together, mindful of our mutual responsibilities to eachother, our own citizens, and the global community.
",egalitarian,cooperation,responsibility,equality,1
35,"The major polluters, especially those who are most responsible for climate change, have the moral obligation to do much more, to take the lead and to raise their ambition now.",general normative statement,UNFCCC agreements and principles,responsibility,proportional to contribution,"35 The major polluters, especially those who are most responsible for climate change, have the moral obligation to do much more, to take the lead and to raise their ambition now.
",prioritarian,urgency,responsibility,priority to worst off,1
38,"Pledges to the Green Climate Fund have now passed the $10 billion threshold, which could mark a significant step forward, but these pledges must be fulfilled without delay and they must be accessible to SIDS.",prioritarian,financial mechanisms,financial resources,priority to worst off,"38 Pledges to the Green Climate Fund have now passed the $10 billion threshold, which could mark a significant step forward, but these pledges must be fulfilled without delay and they must be accessible to SIDS.
",sufficientarian,financial mechanisms,financial resources,needs based,1
40,We call on our partners to deliver the large scale financing that it will take to support a credible mechanism.,general normative statement,financial mechanisms,financial resources,not indicated,"40 We call on our partners to deliver the large scale financing that it will take to support a credible mechanism.
",sufficientarian,financial mechanisms,financial resources,needs based,1
41,Loss and damage should also be included as an element in the new agreement.,general normative statement,other,not indicated,not indicated,"41 Loss and damage should also be included as an element in the new agreement.
",general normative statement,new UNFCCC policy,not indicated,not indicated,1
44,We also fully support inclusion of gender equality in the text of the new agreement.,egalitarian,other,not indicated,not indicated,"44 We also fully support inclusion of gender equality in the text of the new agreement.
",egalitarian,new UNFCCC policy,not indicated,equality,1
45,Full and equal participation of women in all climate actions and decision making processes should be a guiding principle for all.,egalitarian,other,not indicated,not indicated,"45 Full and equal participation of women in all climate actions and decision making processes should be a guiding principle for all.
",egalitarian,new UNFCCC policy,not indicated,equality,1
52,We must all take every opportunity to cooperate in every forum throughout 2015 and not reserve our ambitious actions and announcements for COP21 itself.,general normative statement,cooperation,responsibility,not indicated,"52 We must all take every opportunity to cooperate in every forum throughout 2015 and not reserve our ambitious actions and announcements for COP21 itself.
",egalitarian,cooperation,responsibility,equality,1
66,"Therefore, I urge all parties to ensure that the global average temperature rise is maintained below 1.5 degree Celsius compared to the pre-industrial level.",utilitarian,UNFCCC agreements and principles,responsibility,not indicated,"66 Therefore, I urge all parties to ensure that the global average temperature rise is maintained below 1.5 degree Celsius compared to the pre-industrial level.
",utilitarian,urgency,responsibility,not indicated,1
67,I also urge you all to recognize the contributions that mountains offer to humanity and consider increasing supports to the most vulnerable LDCs and small mountainous developing states like Nepal.,prioritarian,new UNFCCC policy,support,priority to worst off,"67 I also urge you all to recognize the contributions that mountains offer to humanity and consider increasing supports to the most vulnerable LDCs and small mountainous developing states like Nepal.
",prioritarian,support,support,priority to worst off,1
